Unable to load module hid, required to interface with SpaceMouse.

           Only macOS is officially supported. Install the additional

           requirements with `pip install -r requirements-extra.txt`
v: 0.062073890358061566, marker: Flat_top_site_3, dist: -0.0002375948744823437, 
v: 0.11206530207198022, marker: Flat_top_site_4, dist: -0.000346331003555507, 
v: 0.1620620127999887, marker: Flat_top_site_5, dist: -0.00045506713262867017, 
v: 0.21206027458504154, marker: Flat_top_site_6, dist: -0.0005638032617018334, 
v: 0.2620591996503514, marker: Flat_top_site_7, dist: -0.0006725393907749967, 
v: 0.3120584691779447, marker: Flat_top_site_8, dist: -0.00078127551984816, 
v: 0.03828046453008735, marker: Flat_top_site_1, dist: -2.0466359592876868e-05, 
v: 0.011857197615099077, marker: Flat_top_site_2, dist: -0.0001315992848398175, 
v: 0.0617720997370799, marker: Flat_top_site_3, dist: -0.00024273221008675808, 
v: 0.11176310427225965, marker: Flat_top_site_4, dist: -0.00035386513533369865, 
v: 0.1617596694087133, marker: Flat_top_site_5, dist: -0.00046499806058063924, 
v: 0.21175785656702437, marker: Flat_top_site_6, dist: -0.0005761309858275799, 
v: 0.2617567362810453, marker: Flat_top_site_7, dist: -0.0006872639110745205, 
v: 0.3117559753383228, marker: Flat_top_site_8, dist: -0.0007983968363214611, 
v: 0.03856867830905078, marker: Flat_top_site_1, dist: -2.016935987242246e-05, 
v: 0.011576480884521963, marker: Flat_top_site_2, dist: -0.0001336675725901506, 
v: 0.06148566396187294, marker: Flat_top_site_3, dist: -0.0002471657853078787, 
v: 0.11147627028204263, marker: Flat_top_site_4, dist: -0.0003606639980256068, 
v: 0.16147269366415387, marker: Flat_top_site_5, dist: -0.000474162210743335, 
v: 0.21147080829826218, marker: Flat_top_site_6, dist: -0.0005876604234610631, 
v: 0.2614696439846947, marker: Flat_top_site_7, dist: -0.0007011586361787912, 
v: 0.31146885348080255, marker: Flat_top_site_8, dist: -0.0008146568488965194, 
v: 0.038842155738294915, marker: Flat_top_site_1, dist: -1.939440810911891e-05, 
v: 0.011310517644892711, marker: Flat_top_site_2, dist: -0.000135212734323637, 
v: 0.06121390819407712, marker: Flat_top_site_3, dist: -0.0002510310605381551, 
v: 0.11120412448911406, marker: Flat_top_site_4, dist: -0.0003668493867526731, 
v: 0.16120040958504991, marker: Flat_top_site_5, dist: -0.00048266771296719114, 
v: 0.21119845358663336, marker: Flat_top_site_6, dist: -0.0005984860391817093, 
v: 0.26119724643338565, marker: Flat_top_site_7, dist: -0.0007143043653962275, 
v: 0.31119642718286505, marker: Flat_top_site_8, dist: -0.0008301226916107454, 
v: 0.03910037147602108, marker: Flat_top_site_1, dist: -1.907207922010595e-05, 
v: 0.011059902589287626, marker: Flat_top_site_2, dist: -0.00013708104759905311, 
v: 0.0609573936533233, marker: Flat_top_site_3, dist: -0.0002550900159780002, 
v: 0.11094722275355931, marker: Flat_top_site_4, dist: -0.0003730989843569474, 
